topic,variety
Topic 0,Bordeaux-style Red Blend
Topic 0,Red Blend
Topic 0,Pinot Noir
Topic 0,Portuguese Red
Topic 0,Barbera
Topic 0,Red Blend
Topic 0,Nebbiolo
Topic 0,Gamay
Topic 0,Bordeaux-style Red Blend
Topic 0,Barbera
Topic 0,Sagrantino
Topic 0,Cabernet Sauvignon
Topic 0,Barbera
Topic 0,Sagrantino
Topic 0,Teroldego
Topic 0,Syrah
Topic 0,Gamay
Topic 0,Red Blend
Topic 0,Pinot Noir
Topic 0,Gamay
Topic 0,Red Blend
Topic 0,Portuguese Red
Topic 0,Syrah
Topic 0,Portuguese Red
Topic 0,Portuguese Red
Topic 1,Ribolla Gialla
Topic 1,Xarel-lo
Topic 1,Riesling
Topic 1,Riesling
Topic 1,Grillo
Topic 1,Sauvignon Blanc
Topic 1,Pinot Grigio
Topic 1,Turbiana
Topic 1,Chardonnay
Topic 1,Verdejo
Topic 1,White Blend
Topic 1,Grüner Veltliner
Topic 1,Steen
Topic 1,Insolia
Topic 1,Grillo
Topic 1,Chardonnay
Topic 1,Welschriesling
Topic 1,Pansa Blanca
Topic 1,White Blend
Topic 1,Verdejo
Topic 1,White Blend
Topic 1,Albariño
Topic 1,Pinot Grigio
Topic 1,Grüner Veltliner
Topic 1,Garganega
Topic 2,Red Blend
Topic 2,Portuguese Red
Topic 2,Bordeaux-style Red Blend
Topic 2,Bordeaux-style Red Blend
Topic 2,Chardonnay
Topic 2,Gamay
Topic 2,Bordeaux-style Red Blend
Topic 2,Portuguese Red
Topic 2,Portuguese Red
Topic 2,Gamay
Topic 2,Bordeaux-style Red Blend
Topic 2,Portuguese Red
Topic 2,Bordeaux-style Red Blend
Topic 2,Pinot Noir
Topic 2,Bordeaux-style Red Blend
Topic 2,Portuguese Red
Topic 2,Pinot Noir
Topic 2,Portuguese Red
Topic 2,Gamay
Topic 2,Pinot Noir
Topic 2,Provence red blend
Topic 2,Chardonnay
Topic 2,Bordeaux-style Red Blend
Topic 2,Riesling
Topic 2,Bordeaux-style Red Blend
Topic 3,Cabernet Sauvignon
Topic 3,Grenache
Topic 3,Syrah
Topic 3,Cabernet Sauvignon
Topic 3,Pinot Noir
Topic 3,Pinot Noir
Topic 3,Sangiovese
Topic 3,Pinot Noir
Topic 3,Red Blend
Topic 3,White Blend
Topic 3,Zinfandel
Topic 3,Cabernet Sauvignon
Topic 3,Cabernet Sauvignon
Topic 3,Syrah
Topic 3,Zinfandel
Topic 3,Pinot Noir
Topic 3,Merlot
Topic 3,Pinot Noir
Topic 3,Cabernet Sauvignon
Topic 3,Zinfandel
Topic 3,Pinot Noir
Topic 3,Zinfandel
Topic 3,Zinfandel
Topic 3,Red Blend
Topic 3,White Blend
Topic 4,Rosé
Topic 4,Pinot Noir
Topic 4,Gamay
Topic 4,Bordeaux-style Red Blend
Topic 4,Pinot Noir
Topic 4,Portuguese Red
Topic 4,Bordeaux-style Red Blend
Topic 4,Merlot
Topic 4,Gamay
Topic 4,Gamay
Topic 4,Pied de Perdrix
Topic 4,Pinot Noir
Topic 4,Rosé
Topic 4,Pinot Noir
Topic 4,Portuguese Red
Topic 4,Malbec
Topic 4,Sangiovese
Topic 4,Red Blend
Topic 4,Gamay
Topic 4,Rosé
Topic 4,Rosé
Topic 4,Portuguese Red
Topic 4,Portuguese Red
Topic 4,Rosé
Topic 4,Pinot Noir
Topic 5,Cabernet Sauvignon
Topic 5,Red Blend
Topic 5,Petite Sirah
Topic 5,Malbec
Topic 5,Bordeaux-style Red Blend
Topic 5,Cabernet Sauvignon
Topic 5,Tempranillo
Topic 5,Pinot Noir
Topic 5,Bordeaux-style White Blend
Topic 5,Port
Topic 5,Portuguese Red
Topic 5,Pinot Noir
Topic 5,Portuguese Red
Topic 5,Garnacha-Syrah
Topic 5,Merlot
Topic 5,Bordeaux-style Red Blend
Topic 5,Bordeaux-style Red Blend
Topic 5,Bordeaux-style Red Blend
Topic 5,Chardonnay
Topic 5,Red Blend
Topic 5,Red Blend
Topic 5,Portuguese Red
Topic 5,Bordeaux-style Red Blend
Topic 5,Bordeaux-style Red Blend
Topic 5,Bordeaux-style Red Blend
Topic 6,Garnacha
Topic 6,Cabernet Sauvignon-Syrah
Topic 6,Cabernet Sauvignon-Malbec
Topic 6,Cabernet Franc
Topic 6,Merlot
Topic 6,Carmenère
Topic 6,Shiraz
Topic 6,Malbec
Topic 6,Chardonnay
Topic 6,Tempranillo
Topic 6,Red Blend
Topic 6,Merlot
Topic 6,Zinfandel
Topic 6,Malbec
Topic 6,Malbec
Topic 6,Carmenère
Topic 6,Sauvignon Blanc
Topic 6,Cabernet Sauvignon
Topic 6,Cabernet Sauvignon
Topic 6,Red Blend
Topic 6,Viura
Topic 6,Sauvignon Blanc
Topic 6,Cabernet Sauvignon
Topic 6,Carmenère
Topic 6,Sauvignon Blanc
Topic 7,Syrah
Topic 7,Shiraz
Topic 7,Rosé
Topic 7,Pinot Noir
Topic 7,Barbera
Topic 7,Austrian Red Blend
Topic 7,Pinot Noir
Topic 7,Chardonnay
Topic 7,Bordeaux-style Red Blend
Topic 7,Bordeaux-style Red Blend
Topic 7,Red Blend
Topic 7,Malbec-Tannat
Topic 7,Cabernet Sauvignon
Topic 7,Malbec
Topic 7,Chardonnay
Topic 7,Bordeaux-style Red Blend
Topic 7,Pinot Noir
Topic 7,Cabernet Sauvignon-Shiraz
Topic 7,Tempranillo
Topic 7,Bordeaux-style Red Blend
Topic 7,Malbec
Topic 7,Bordeaux-style Red Blend
Topic 7,Bordeaux-style Red Blend
Topic 7,Pinot Noir
Topic 7,Port
Topic 8,Merlot
Topic 8,Red Blend
Topic 8,Merlot
Topic 8,Touriga Nacional
Topic 8,Grenache
Topic 8,Portuguese Red
Topic 8,Malbec
Topic 8,Pinot Blanc
Topic 8,Merlot
Topic 8,Syrah
Topic 8,Syrah
Topic 8,Bordeaux-style Red Blend
Topic 8,Bordeaux-style Red Blend
Topic 8,Shiraz
Topic 8,Portuguese White
Topic 8,Bordeaux-style Red Blend
Topic 8,Bordeaux-style Red Blend
Topic 8,Rhône-style Red Blend
Topic 8,Merlot
Topic 8,Chardonnay
Topic 8,Pinot Noir
Topic 8,Bordeaux-style Red Blend
Topic 8,Chardonnay
Topic 8,Sauvignon Blanc
Topic 8,Bordeaux-style Red Blend
Topic 9,Zinfandel
Topic 9,Merlot
Topic 9,Merlot
Topic 9,Merlot
Topic 9,Chardonnay
Topic 9,Syrah
Topic 9,Rosé
Topic 9,Pinot Noir
Topic 9,Sauvignon Blanc
Topic 9,Merlot
Topic 9,Gewürztraminer
Topic 9,Sangiovese
Topic 9,"Corvina, Rondinella, Molinara"
Topic 9,Merlot
Topic 9,Merlot
Topic 9,Bordeaux-style Red Blend
Topic 9,Pinot Grigio
Topic 9,Merlot
Topic 9,Sauvignon Blanc
Topic 9,Pinot Noir
Topic 9,Pinot Noir
Topic 9,Merlot
Topic 9,Grenache
Topic 9,Zinfandel
Topic 9,Bordeaux-style Red Blend
Topic 10,Tempranillo
Topic 10,Rosé
Topic 10,Red Blend
Topic 10,Chardonnay
Topic 10,Merlot
Topic 10,Cabernet Franc
Topic 10,Red Blend
Topic 10,Pinot Noir
Topic 10,Cabernet Sauvignon
Topic 10,Chardonnay-Semillon
Topic 10,Zinfandel
Topic 10,Pinot Noir
Topic 10,Pinot Noir
Topic 10,Rosé
Topic 10,Pinot Noir
Topic 10,Kadarka
Topic 10,Chardonnay
Topic 10,Chardonnay
Topic 10,Chardonnay
Topic 10,Tempranillo
Topic 10,Red Blend
Topic 10,Tempranillo
Topic 10,Champagne Blend
Topic 10,Red Blend
Topic 10,Sangiovese
Topic 11,Cabernet Sauvignon
Topic 11,Malbec
Topic 11,Petite Sirah
Topic 11,Red Blend
Topic 11,Petite Sirah
Topic 11,Merlot
Topic 11,Cabernet Sauvignon
Topic 11,Red Blend
Topic 11,"Corvina, Rondinella, Molinara"
Topic 11,Cabernet Sauvignon
Topic 11,Red Blend
Topic 11,Cabernet Sauvignon
Topic 11,Syrah
Topic 11,Malbec
Topic 11,Petite Sirah
Topic 11,Petite Sirah
Topic 11,Cabernet Sauvignon
Topic 11,Cabernet Sauvignon
Topic 11,Zinfandel
Topic 11,Cabernet Franc
Topic 11,Malbec
Topic 11,Merlot
Topic 11,Red Blend
Topic 11,Bordeaux-style Red Blend
Topic 11,Cabernet Sauvignon
Topic 12,Merlot
Topic 12,Charbono
Topic 12,Gamay
Topic 12,Gamay
Topic 12,Bordeaux-style Red Blend
Topic 12,Bordeaux-style Red Blend
Topic 12,Pinot Noir
Topic 12,Pinot Noir
Topic 12,Bordeaux-style Red Blend
Topic 12,Pinot Noir
Topic 12,Merlot
Topic 12,Bordeaux-style Red Blend
Topic 12,Red Blend
Topic 12,Pinot Noir
Topic 12,Cabernet Franc
Topic 12,Bordeaux-style Red Blend
Topic 12,Gamay
Topic 12,Pinot Noir
Topic 12,Portuguese Red
Topic 12,Bordeaux-style Red Blend
Topic 12,Zinfandel
Topic 12,Pinot Noir
Topic 12,Sangiovese Grosso
Topic 12,Pinot Noir
Topic 12,Syrah
Topic 13,Cabernet Sauvignon
Topic 13,Zinfandel
Topic 13,Austrian Red Blend
Topic 13,Pinot Noir
Topic 13,Bordeaux-style Red Blend
Topic 13,Malbec
Topic 13,Portuguese Red
Topic 13,Bordeaux-style White Blend
Topic 13,Inzolia
Topic 13,Merlot
Topic 13,Bordeaux-style Red Blend
Topic 13,Cabernet Merlot
Topic 13,Greco
Topic 13,Petit Verdot
Topic 13,Pinot Noir
Topic 13,Turbiana
Topic 13,Red Blend
Topic 13,Catarratto
Topic 13,Bordeaux-style Red Blend
Topic 13,Zweigelt
Topic 13,Cabernet Sauvignon
Topic 13,Chardonnay
Topic 13,Malbec
Topic 13,Bordeaux-style Red Blend
Topic 13,Riesling
Topic 14,Bordeaux-style Red Blend
Topic 14,Bordeaux-style Red Blend
Topic 14,Zinfandel
Topic 14,Bordeaux-style Red Blend
Topic 14,Malbec
Topic 14,Bordeaux-style Red Blend
Topic 14,Bordeaux-style Red Blend
Topic 14,Nebbiolo
Topic 14,Bordeaux-style Red Blend
Topic 14,Bordeaux-style Red Blend
Topic 14,Cabernet Sauvignon
Topic 14,Norton
Topic 14,Cabernet Sauvignon
Topic 14,Carignan-Grenache
Topic 14,Gamay
Topic 14,Bordeaux-style Red Blend
Topic 14,Malbec
Topic 14,Cabernet Franc
Topic 14,Saperavi-Merlot
Topic 14,Bordeaux-style Red Blend
Topic 14,Cabernet Sauvignon
Topic 14,Riesling
Topic 14,Malbec
Topic 14,Bordeaux-style Red Blend
Topic 14,Cabernet Sauvignon
Topic 15,Chardonnay
Topic 15,Rosé
Topic 15,Sauvignon Blanc
Topic 15,Cabernet Franc
Topic 15,Sangiovese
Topic 15,Pinot Grigio
Topic 15,Merlot
Topic 15,Merlot
Topic 15,Merlot
Topic 15,Sauvignon Blanc
Topic 15,Sauvignon Blanc
Topic 15,Grüner Veltliner
Topic 15,Red Blend
Topic 15,Sauvignon Blanc
Topic 15,Sauvignon Blanc
Topic 15,Chardonnay
Topic 15,Sauvignon Blanc
Topic 15,Carmenère
Topic 15,Montepulciano
Topic 15,Bordeaux-style White Blend
Topic 15,Sauvignon Blanc
Topic 15,Tempranillo
Topic 15,Sauvignon Blanc
Topic 15,Sauvignon Blanc
Topic 15,Cabernet Sauvignon
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Castelão
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Rosé
Topic 16,Pinot Grigio
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,Chardonnay
Topic 16,G-S-M
Topic 16,Red Blend
Topic 16,Marsanne
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style Red Blend
Topic 17,Chardonnay
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style Red Blend
Topic 17,Chardonnay
Topic 17,Bordeaux-style White Blend
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style White Blend
Topic 17,Rhône-style White Blend
Topic 17,Bordeaux-style Red Blend
Topic 17,Chardonnay
Topic 17,Chardonnay
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style White Blend
Topic 17,Chardonnay
Topic 17,Chardonnay
Topic 17,Chardonnay
Topic 17,Bordeaux-style Red Blend
Topic 17,Cabernet Sauvignon
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style Red Blend
Topic 17,Bordeaux-style Red Blend
Topic 18,Gewürztraminer
Topic 18,Riesling
Topic 18,Bordeaux-style Red Blend
Topic 18,Zinfandel
Topic 18,Auxerrois
Topic 18,Zinfandel
Topic 18,Chardonnay
Topic 18,Rosé
Topic 18,Grüner Veltliner
Topic 18,Rosé
Topic 18,Champagne Blend
Topic 18,Cabernet Sauvignon
Topic 18,Chardonnay
Topic 18,Bordeaux-style Red Blend
Topic 18,Rosé
Topic 18,Chardonnay
Topic 18,Red Blend
Topic 18,Bordeaux-style Red Blend
Topic 18,Riesling
Topic 18,Vermentino
Topic 18,Sauvignon Blanc
Topic 18,Viognier
Topic 18,Pinot Gris
Topic 18,Gewürztraminer
Topic 18,Portuguese White
