topic,key_word
Topic 0,fruit
Topic 0,tannins
Topic 0,acidity
Topic 0,cherry
Topic 0,aromas
Topic 0,black
Topic 0,ripe
Topic 0,palate
Topic 0,spice
Topic 0,rich
Topic 1,apple
Topic 1,citrus
Topic 1,crisp
Topic 1,fresh
Topic 1,white
Topic 1,peach
Topic 1,acidity
Topic 1,lemon
Topic 1,pear
Topic 1,green
Topic 2,acidity
Topic 2,fruits
Topic 2,ripe
Topic 2,rich
Topic 2,wood
Topic 2,tannins
Topic 2,aging
Topic 2,years
Topic 2,structure
Topic 2,fruity
Topic 3,sweet
Topic 3,soft
Topic 3,cherry
Topic 3,simple
Topic 3,cherries
Topic 3,vanilla
Topic 3,little
Topic 3,cola
Topic 3,rich
Topic 3,raspberry
Topic 4,fresh
Topic 4,cherry
Topic 4,light
Topic 4,fruity
Topic 4,soft
Topic 4,acidity
Topic 4,bright
Topic 4,raspberry
Topic 4,berry
Topic 4,crisp
Topic 5,soft
Topic 5,sweet
Topic 5,ripe
Topic 5,berry
Topic 5,fruits
Topic 5,plum
Topic 5,wood
Topic 5,aromas
Topic 5,juicy
Topic 5,sample
Topic 6,green
Topic 6,herbal
Topic 6,palate
Topic 6,plum
Topic 6,sweet
Topic 6,apple
Topic 6,nose
Topic 6,tannic
Topic 6,little
Topic 6,cherries
Topic 7,fruit
Topic 7,light
Topic 7,herbal
Topic 7,tart
Topic 7,berry
Topic 7,raspberry
Topic 7,barrel
Topic 7,wood
Topic 7,just
Topic 7,vineyard
Topic 8,soft
Topic 8,fruit
Topic 8,black
Topic 8,apple
Topic 8,light
Topic 8,tannins
Topic 8,ripe
Topic 8,green
Topic 8,fresh
Topic 8,blackberry
Topic 9,sweet
Topic 9,black
Topic 9,cherry
Topic 9,acidity
Topic 9,tannins
Topic 9,firm
Topic 9,white
Topic 9,raspberry
Topic 9,simple
Topic 9,juicy
Topic 10,cherry
Topic 10,ripe
Topic 10,raspberry
Topic 10,vanilla
Topic 10,acidity
Topic 10,plum
Topic 10,palate
Topic 10,rich
Topic 10,toast
Topic 10,apple
Topic 11,blackberry
Topic 11,green
Topic 11,chocolate
Topic 11,dark
Topic 11,apple
Topic 11,cherry
Topic 11,citrus
Topic 11,tannic
Topic 11,currant
Topic 11,crisp
Topic 12,tannins
Topic 12,firm
Topic 12,apple
Topic 12,cherry
Topic 12,green
Topic 12,soft
Topic 12,years
Topic 12,aging
Topic 12,raspberry
Topic 12,structure
Topic 13,ripe
Topic 13,white
Topic 13,blackberry
Topic 13,berry
Topic 13,acidity
Topic 13,fruit
Topic 13,tannic
Topic 13,peach
Topic 13,juicy
Topic 13,palate
Topic 14,tannins
Topic 14,acidity
Topic 14,dark
Topic 14,chocolate
Topic 14,blackberry
Topic 14,palate
Topic 14,lemon
Topic 14,firm
Topic 14,nose
Topic 14,vanilla
Topic 15,green
Topic 15,black
Topic 15,crisp
Topic 15,spice
Topic 15,fruit
Topic 15,pepper
Topic 15,acidity
Topic 15,apple
Topic 15,berry
Topic 15,shows
Topic 16,vanilla
Topic 16,tannins
Topic 16,soft
Topic 16,creamy
Topic 16,toast
Topic 16,white
Topic 16,peach
Topic 16,aromas
Topic 16,rich
Topic 16,buttered
Topic 17,vanilla
Topic 17,fresh
Topic 17,shows
Topic 17,barrel
Topic 17,clean
Topic 17,toast
Topic 17,ripe
Topic 17,easy
Topic 17,blackberry
Topic 17,sample
Topic 18,soft
Topic 18,white
Topic 18,acidity
Topic 18,pepper
Topic 18,spice
Topic 18,shows
Topic 18,nose
Topic 18,alcohol
Topic 18,high
Topic 18,palate
Topic 19,rich
Topic 19,barrel
Topic 19,sample
Topic 19,green
Topic 19,white
Topic 19,fruits
Topic 19,pepper
Topic 19,dark
Topic 19,chocolate
Topic 19,tannins
Topic 20,rich
Topic 20,fresh
Topic 20,spice
Topic 20,years
Topic 20,fruit
Topic 20,wood
Topic 20,nose
Topic 20,green
Topic 20,tannins
Topic 20,palate
Topic 21,fruity
Topic 21,rich
Topic 21,currant
Topic 21,citrus
Topic 21,texture
Topic 21,black
Topic 21,spicy
Topic 21,clean
Topic 21,nose
